cell,x_um,y_um,orient
VIA_M1M2_PR,165.37,18.53,N
VIA_L1M1_PR_MR,175.95,18.53,N
VIA_M1M2_PR,176.41,18.53,N
VIA_L1M1_PR_MR,176.87,18.53,N
VIA_M1M2_PR,178.25,18.53,N
VIA_M1M2_PR,182.39,18.53,N
VIA_M1M2_PR,184.69,18.53,N
VIA_L1M1_PR_MR,185.15,18.53,N
VIA_L1M1_PR_MR,186.99,18.53,N
VIA_M1M2_PR,188.37,18.53,N
VIA_M2M3_PR,159.85,18.7,N
VIA_M2M3_PR,172.27,18.7,N
VIA_M3M4_PR,178.02,18.7,N
VIA_M2M3_PR,178.25,18.7,N
VIA_via4_5_2000_480_1_5_400_400,26.44,19.04,N
VIA_via2_3_2000_480_1_6_320_320,26.44,19.04,N
VIA_via3_4_2000_480_1_5_400_400,26.44,19.04,N
VIA_via3_4_2000_480_1_5_400_400,56.44,19.04,N
VIA_via4_5_2000_480_1_5_400_400,56.44,19.04,N
VIA_via2_3_2000_480_1_6_320_320,56.44,19.04,N
VIA_via3_4_2000_480_1_5_400_400,86.44,19.04,N
VIA_via4_5_2000_480_1_5_400_400,86.44,19.04,N
VIA_via2_3_2000_480_1_6_320_320,86.44,19.04,N
VIA_via2_3_2000_480_1_6_320_320,116.44,19.04,N
VIA_via4_5_2000_480_1_5_400_400,116.44,19.04,N
VIA_via3_4_2000_480_1_5_400_400,116.44,19.04,N
VIA_via4_5_2000_480_1_5_400_400,146.44,19.04,N
VIA_via3_4_2000_480_1_5_400_400,146.44,19.04,N
VIA_via2_3_2000_480_1_6_320_320,146.44,19.04,N
VIA_via3_4_2000_480_1_5_400_400,176.44,19.04,N
VIA_via2_3_2000_480_1_6_320_320,176.44,19.04,N
VIA_via4_5_2000_480_1_5_400_400,176.44,19.04,N
VIA_M2M3_PR,161.23,19.38,N
VIA_M3M4_PR,166.06,19.38,N
VIA_M3M4_PR,184.46,19.38,N
VIA_M2M3_PR,184.69,19.38,N
VIA_L1M1_PR_MR,157.09,19.55,N
VIA_M1M2_PR,161.23,19.55,N
VIA_L1M1_PR_MR,162.15,19.55,N
VIA_L1M1_PR_MR,163.07,19.55,N
VIA_M1M2_PR,163.07,19.55,N
VIA_M1M2_PR,176.41,19.55,N
VIA_M1M2_PR,179.63,19.55,N
VIA_M1M2_PR,184.69,19.55,N
VIA_M1M2_PR,154.79,19.89,N
VIA_L1M1_PR_MR,156.63,19.89,N
VIA_M1M2_PR,157.55,19.89,N
VIA_M1M2_PR,161.69,19.89,N
VIA_M1M2_PR,167.21,19.89,N
VIA_L1M1_PR_MR,182.85,19.89,N
VIA_M1M2_PR,184.23,19.89,N
VIA_L1M1_PR_MR,186.07,19.89,N
VIA_M2M3_PR,155.25,20.06,N
VIA_M2M3_PR,158.93,20.06,N
VIA_M2M3_PR,160.31,20.06,N
VIA_M2M3_PR,184.23,20.06,N
VIA_M1M2_PR,100.51,20.23,N
VIA_L1M1_PR_MR,158.93,20.23,N
VIA_L1M1_PR_MR,160.77,20.23,N
VIA_M1M2_PR,163.53,20.23,N
VIA_M1M2_PR,163.99,20.23,N
VIA_L1M1_PR_MR,163.99,20.23,N
VIA_M1M2_PR,164.45,20.23,N
VIA_L1M1_PR_MR,166.29,20.23,N
VIA_L1M1_PR_MR,180.465,20.23,N
VIA_M1M2_PR,181.47,20.23,N
VIA_L1M1_PR_MR,181.93,20.23,N
VIA_M1M2_PR,183.31,20.23,N
VIA_L1M1_PR_MR,183.77,20.23,N
VIA_M1M2_PR,184.69,20.23,N
VIA_L1M1_PR_MR,81.65,20.57,N
VIA_L1M1_PR_MR,82.11,20.57,N
VIA_L1M1_PR_MR,83.49,20.57,N
VIA_M1M2_PR,107.87,20.57,N
VIA_L1M1_PR_MR,154.79,20.57,N
VIA_M1M2_PR,154.79,20.57,N
VIA_L1M1_PR_MR,156.17,20.57,N
VIA_M1M2_PR,157.55,20.57,N
VIA_L1M1_PR_MR,157.55,20.57,N
VIA_M1M2_PR,159.39,20.57,N
VIA_L1M1_PR_MR,159.85,20.57,N
VIA_M1M2_PR,161.23,20.57,N
VIA_L1M1_PR_MR,163.07,20.57,N
VIA_M1M2_PR,165.83,20.57,N
VIA_M1M2_PR,167.21,20.57,N
VIA_L1M1_PR_MR,168.13,20.57,N
VIA_L1M1_PR_MR,169.51,20.57,N
VIA_M1M2_PR,170.89,20.57,N
VIA_M1M2_PR,172.27,20.57,N
VIA_L1M1_PR_MR,172.73,20.57,N
VIA_M1M2_PR,173.65,20.57,N
VIA_L1M1_PR_MR,173.65,20.57,N
VIA_L1M1_PR_MR,178.25,20.57,N
VIA_M1M2_PR,178.25,20.57,N
VIA_L1M1_PR_MR,179.17,20.57,N
VIA_M1M2_PR,179.63,20.57,N
VIA_M1M2_PR,181.01,20.57,N
VIA_M1M2_PR,182.39,20.57,N
VIA_L1M1_PR_MR,182.39,20.57,N
VIA_L1M1_PR_MR,182.85,20.57,N
VIA_M1M2_PR,184.23,20.57,N
VIA_L1M1_PR_MR,186.53,20.57,N
VIA_L1M1_PR_MR,186.99,20.57,N
VIA_M2M3_PR,152.03,20.74,N
VIA_M2M3_PR,181.93,20.74,N
VIA_M1M2_PR,81.19,20.91,N
VIA_M1M2_PR,156.63,20.91,N
VIA_L1M1_PR_MR,158.47,20.91,N
VIA_M1M2_PR,162.61,20.91,N
VIA_M1M2_PR,163.53,20.91,N
